audit_id,timestamp,actor_type,actor_id,event_type,workflow_id,resource_type,resource_id,details_json
audit_0017,2026-02-01T23:50:15Z,system,sys_zapier,ZAP_TURNED_ON,wf_slack_digest,zap,zap_wf_slack_digest,"{""event"":""zap_turned_on""}"
audit_0015,2026-02-03T01:22:48Z,user,u_bob,ZAP_TURNED_OFF,wf_support_router,zap,zap_wf_support_router,"{""event"":""zap_turned_off""}"
audit_0010,2026-02-03T13:20:26Z,system,sys_zapier,RATE_LIMIT_THRESHOLD_HIT,wf_shopify_orders,connection,conn_shopify_01,"{""event"":""rate_limit_threshold_hit"",""resource"":""conn_shopify_01""}"
audit_0026,2026-02-04T02:55:35Z,user,u_bob,ZAP_TURNED_OFF,wf_invoice_sync,zap,zap_wf_invoice_sync,"{""event"":""zap_turned_off""}"
audit_0019,2026-02-04T04:22:58Z,user,u_bob,FILTER_CHANGED,wf_invoice_sync,zap,zap_wf_invoice_sync,"{""event"":""filter_changed""}"
audit_0030,2026-02-04T05:00:03Z,user,u_anna,ZAP_TURNED_ON,wf_slack_digest,zap,zap_wf_slack_digest,"{""event"":""zap_turned_on""}"
audit_0013,2026-02-04T20:08:17Z,user,u_bob,ZAP_TURNED_OFF,wf_invoice_sync,zap,zap_wf_invoice_sync,"{""event"":""zap_turned_off""}"
audit_0006,2026-02-05T16:24:32Z,system,sys_zapier,CREDENTIAL_UPDATED,wf_invoice_sync,connection,conn_stripe_01,"{""event"":""credential_updated"",""resource"":""conn_stripe_01""}"
audit_0007,2026-02-06T09:56:24Z,user,u_carlos,STEP_CHANGED,wf_lead_sync,step,s2_transform,"{""event"":""step_changed"",""resource"":""s2_transform""}"
audit_0009,2026-02-07T07:31:11Z,user,u_carlos,ZAP_TURNED_ON,wf_sheet_backup,zap,zap_sheet_backup,"{""event"":""zap_turned_on"",""resource"":""zap_sheet_backup""}"
audit_0023,2026-02-07T21:55:07Z,user,u_anna,ZAP_TURNED_ON,wf_support_router,zap,zap_wf_support_router,"{""event"":""zap_turned_on""}"
audit_0004,2026-02-08T00:01:58Z,user,u_anna,STEP_CHANGED,wf_shopify_orders,step,s3_create_invoice,"{""event"":""step_changed"",""resource"":""s3_create_invoice""}"
audit_0005,2026-02-08T00:25:41Z,user,u_anna,FILTER_CHANGED,wf_support_router,step,s2_classify,"{""event"":""filter_changed"",""resource"":""s2_classify""}"
audit_0014,2026-02-08T03:26:44Z,user,u_bob,STEP_CHANGED,wf_support_router,zap,zap_wf_support_router,"{""event"":""step_changed""}"
audit_0003,2026-02-08T18:32:34Z,user,u_anna,ZAP_TURNED_ON,wf_slack_digest,zap,zap_slack_digest,"{""event"":""zap_turned_on"",""resource"":""zap_slack_digest""}"
audit_0029,2026-02-08T23:19:39Z,system,sys_zapier,STEP_CHANGED,wf_shopify_returns,zap,zap_wf_shopify_returns,"{""event"":""step_changed""}"
audit_0016,2026-02-09T00:26:52Z,system,sys_zapier,STEP_CHANGED,wf_shopify_orders,zap,zap_wf_shopify_orders,"{""event"":""step_changed""}"
audit_0031,2026-02-09T02:51:01Z,user,u_carlos,STEP_CHANGED,wf_invoice_sync,zap,zap_wf_invoice_sync,"{""event"":""step_changed""}"
audit_0011,2026-02-10T11:23:26Z,user,u_anna,STEP_CHANGED,wf_shopify_returns,step,s2_process,"{""event"":""step_changed"",""resource"":""s2_process""}"
audit_0018,2026-02-10T17:38:35Z,system,sys_zapier,STEP_CHANGED,wf_lead_sync,zap,zap_wf_lead_sync,"{""event"":""step_changed""}"
audit_0021,2026-02-11T20:14:52Z,user,u_bob,STEP_CHANGED,wf_shopify_returns,zap,zap_wf_shopify_returns,"{""event"":""step_changed""}"
audit_0012,2026-02-11T22:15:06Z,user,u_anna,ZAP_TURNED_OFF,wf_slack_digest,zap,zap_wf_slack_digest,"{""event"":""zap_turned_off""}"
audit_0027,2026-02-12T15:17:38Z,user,u_bob,FILTER_CHANGED,wf_shopify_orders,zap,zap_wf_shopify_orders,"{""event"":""filter_changed""}"
audit_0024,2026-02-12T18:55:48Z,system,sys_zapier,FILTER_CHANGED,wf_lead_sync,zap,zap_wf_lead_sync,"{""event"":""filter_changed""}"
audit_0025,2026-02-12T19:28:17Z,user,u_carlos,FILTER_CHANGED,wf_shopify_returns,zap,zap_wf_shopify_returns,"{""event"":""filter_changed""}"
audit_0002,2026-02-13T11:21:52Z,system,sys_zapier,ZAP_TURNED_OFF,wf_slack_digest,zap,zap_slack_digest,"{""event"":""zap_turned_off"",""resource"":""zap_slack_digest""}"
audit_0008,2026-02-13T18:40:30Z,system,sys_zapier,ZAP_TURNED_OFF,wf_sheet_backup,zap,zap_sheet_backup,"{""event"":""zap_turned_off"",""resource"":""zap_sheet_backup""}"
audit_0001,2026-02-14T10:00:00Z,user,u_anna,CREDENTIAL_UPDATED,wf_lead_sync,connection,conn_salesforce_01,"{""connection"":""Salesforce"",""reason"":""token_refresh"",""rotated_by"":""u_anna""}"
audit_0028,2026-02-15T07:19:23Z,system,sys_zapier,ZAP_TURNED_ON,wf_shopify_returns,zap,zap_wf_shopify_returns,"{""event"":""zap_turned_on""}"
audit_0020,2026-02-16T13:11:48Z,user,u_bob,FILTER_CHANGED,wf_support_router,zap,zap_wf_support_router,"{""event"":""filter_changed""}"
audit_0022,2026-02-16T17:06:33Z,user,u_carlos,ZAP_TURNED_ON,wf_shopify_returns,zap,zap_wf_shopify_returns,"{""event"":""zap_turned_on""}"
