run_id,step_id,step_order,app,action,status,duration_ms,error_category,error_message
run_wf_invoice_sync_20260201T004204Z_0014,s1_get_invoice,1,Stripe,get_invoice,success,213,,
run_wf_invoice_sync_20260201T004204Z_0014,s2_create_entry,2,QuickBooks,create_invoice,success,412,,
run_wf_invoice_sync_20260201T004204Z_0014,s3_notify,3,Slack,send_message,success,1214,,
run_wf_lead_sync_20260201T034730Z_0065,s1_get_contact,1,HubSpot,get_contact,success,264,,
run_wf_lead_sync_20260201T034730Z_0065,s2_transform,2,Code,run_python,success,364,,
run_wf_lead_sync_20260201T034730Z_0065,s3_push_to_sf,3,Salesforce,create_lead,success,318,,
run_wf_lead_sync_20260201T034730Z_0065,s4_notify,4,Slack,send_message,success,1281,,
run_wf_lead_sync_20260201T045509Z_0036,s1_get_contact,1,HubSpot,get_contact,success,503,,
run_wf_lead_sync_20260201T045509Z_0036,s2_transform,2,Code,run_python,failed,302,BAD_INPUT,Transient bad_input error
run_wf_lead_sync_20260201T045509Z_0036,s3_push_to_sf,3,Salesforce,create_lead,skipped,0,,
run_wf_lead_sync_20260201T045509Z_0036,s4_notify,4,Slack,send_message,skipped,0,,
run_wf_lead_sync_20260201T050058Z_0072,s1_get_contact,1,HubSpot,get_contact,success,417,,
run_wf_lead_sync_20260201T050058Z_0072,s2_transform,2,Code,run_python,success,594,,
run_wf_lead_sync_20260201T050058Z_0072,s3_push_to_sf,3,Salesforce,create_lead,success,440,,
run_wf_lead_sync_20260201T050058Z_0072,s4_notify,4,Slack,send_message,success,741,,
run_wf_shopify_orders_20260201T063449Z_0137,s1_get_order,1,Shopify,get_order,success,987,,
run_wf_shopify_orders_20260201T063449Z_0137,s2_validate,2,Code,run_python,success,396,,
run_wf_shopify_orders_20260201T063449Z_0137,s3_create_invoice,3,QuickBooks,create_invoice,failed,346,BAD_INPUT,Transient bad_input error
run_wf_shopify_orders_20260201T063449Z_0137,s4_update_inventory,4,Shopify,update_product,skipped,0,,
run_wf_shopify_orders_20260201T063449Z_0137,s5_notify_warehouse,5,Slack,send_message,skipped,0,,
run_wf_shopify_orders_20260201T063449Z_0137,s6_update_crm,6,Salesforce,update_record,skipped,0,,
run_wf_shopify_orders_20260201T063449Z_0137,s7_log,7,Google Sheets,add_row,skipped,0,,
run_wf_shopify_orders_20260201T063640Z_0042,s1_get_order,1,Shopify,get_order,success,1663,,
run_wf_shopify_orders_20260201T063640Z_0042,s2_validate,2,Code,run_python,success,818,,
run_wf_shopify_orders_20260201T063640Z_0042,s3_create_invoice,3,QuickBooks,create_invoice,success,218,,
run_wf_shopify_orders_20260201T063640Z_0042,s4_update_inventory,4,Shopify,update_product,success,375,,
run_wf_shopify_orders_20260201T063640Z_0042,s5_notify_warehouse,5,Slack,send_message,success,367,,
run_wf_shopify_orders_20260201T063640Z_0042,s6_update_crm,6,Salesforce,update_record,success,87,,
run_wf_shopify_orders_20260201T063640Z_0042,s7_log,7,Google Sheets,add_row,success,668,,
run_wf_shopify_orders_20260201T063757Z_0085,s1_get_order,1,Shopify,get_order,success,543,,
run_wf_shopify_orders_20260201T063757Z_0085,s2_validate,2,Code,run_python,failed,359,TIMEOUT,Transient timeout error
run_wf_shopify_orders_20260201T063757Z_0085,s3_create_invoice,3,QuickBooks,create_invoice,skipped,0,,
run_wf_shopify_orders_20260201T063757Z_0085,s4_update_inventory,4,Shopify,update_product,skipped,0,,
run_wf_shopify_orders_20260201T063757Z_0085,s5_notify_warehouse,5,Slack,send_message,skipped,0,,
run_wf_shopify_orders_20260201T063757Z_0085,s6_update_crm,6,Salesforce,update_record,skipped,0,,
run_wf_shopify_orders_20260201T063757Z_0085,s7_log,7,Google Sheets,add_row,skipped,0,,
run_wf_support_router_20260201T073740Z_0013,s1_receive_ticket,1,Zendesk,get_ticket,success,194,,
run_wf_support_router_20260201T073740Z_0013,s2_classify,2,Code,run_python,success,282,,
run_wf_support_router_20260201T073740Z_0013,s3_route_slack,3,Slack,send_message,success,356,,
run_wf_support_router_20260201T073740Z_0013,s4_create_task,4,Asana,create_task,success,186,,
run_wf_support_router_20260201T073740Z_0013,s5_log_sheet,5,Google Sheets,add_row,success,517,,
run_wf_shopify_orders_20260201T074937Z_0010,s1_get_order,1,Shopify,get_order,success,652,,
run_wf_shopify_orders_20260201T074937Z_0010,s2_validate,2,Code,run_python,success,262,,
run_wf_shopify_orders_20260201T074937Z_0010,s3_create_invoice,3,QuickBooks,create_invoice,success,574,,
run_wf_shopify_orders_20260201T074937Z_0010,s4_update_inventory,4,Shopify,update_product,success,228,,
run_wf_shopify_orders_20260201T074937Z_0010,s5_notify_warehouse,5,Slack,send_message,success,371,,
run_wf_shopify_orders_20260201T074937Z_0010,s6_update_crm,6,Salesforce,update_record,success,146,,
run_wf_shopify_orders_20260201T074937Z_0010,s7_log,7,Google Sheets,add_row,success,709,,
run_wf_shopify_orders_20260201T081708Z_0145,s1_get_order,1,Shopify,get_order,success,903,,
run_wf_shopify_orders_20260201T081708Z_0145,s2_validate,2,Code,run_python,success,359,,
run_wf_shopify_orders_20260201T081708Z_0145,s3_create_invoice,3,QuickBooks,create_invoice,success,467,,
run_wf_shopify_orders_20260201T081708Z_0145,s4_update_inventory,4,Shopify,update_product,success,298,,
run_wf_shopify_orders_20260201T081708Z_0145,s5_notify_warehouse,5,Slack,send_message,success,147,,
run_wf_shopify_orders_20260201T081708Z_0145,s6_update_crm,6,Salesforce,update_record,success,246,,
run_wf_shopify_orders_20260201T081708Z_0145,s7_log,7,Google Sheets,add_row,success,585,,
run_wf_support_router_20260201T090913Z_0026,s1_receive_ticket,1,Zendesk,get_ticket,success,588,,
run_wf_support_router_20260201T090913Z_0026,s2_classify,2,Code,run_python,success,151,,
run_wf_support_router_20260201T090913Z_0026,s3_route_slack,3,Slack,send_message,failed,95,INTERNAL,Transient internal error
run_wf_support_router_20260201T090913Z_0026,s4_create_task,4,Asana,create_task,skipped,0,,
run_wf_support_router_20260201T090913Z_0026,s5_log_sheet,5,Google Sheets,add_row,skipped,0,,
run_wf_support_router_20260201T093751Z_0007,s1_receive_ticket,1,Zendesk,get_ticket,success,320,,
run_wf_support_router_20260201T093751Z_0007,s2_classify,2,Code,run_python,success,272,,
